runs,temp,top_p,rows,empty,empty_rate,pos_rows,pos_empty,pos_empty_rate,neg_rows,neg_empty,neg_empty_rate,avg_skills
5,0.15,0.6,3672,567,0.154412,2157,129,0.059805,1515,438,0.289109,2.393519
5,0.15,0.7,3672,558,0.151961,2157,124,0.057487,1515,434,0.286469,2.492375
5,0.2,0.6,3672,561,0.152778,2157,127,0.058878,1515,434,0.286469,2.422930
5,0.2,0.7,3672,555,0.151144,2157,125,0.057951,1515,430,0.283828,2.514161
7,0.15,0.6,3672,563,0.153322,2157,128,0.059342,1515,435,0.287129,2.437636
7,0.15,0.7,3672,552,0.150327,2157,123,0.057024,1515,429,0.283168,2.586874
7,0.2,0.6,3672,562,0.153050,2157,127,0.058878,1515,435,0.287129,2.469227
7,0.2,0.7,3672,552,0.150327,2157,123,0.057024,1515,429,0.283168,2.626362
9,0.15,0.6,3672,561,0.152778,2157,127,0.058878,1515,434,0.286469,2.458061
9,0.15,0.7,3672,551,0.150054,2157,123,0.057024,1515,428,0.282508,2.656318
9,0.2,0.6,3672,560,0.152505,2157,128,0.059342,1515,432,0.285149,2.495915
9,0.2,0.7,3672,547,0.148965,2157,121,0.056096,1515,426,0.281188,2.686547
